LOANID,ORIG_CHN,ORIG_RT,ORIG_AMT,ORIG_TRM,OLTV,NUM_BO,DTI,CSCORE_B,FTHB_FLG,PURPOSE,PROP_TYP,NUM_UNIT,OCC_STAT,STATE,VinYr,RELOCATION_FLG,LAST_UPB_LOANAMT_PERCENT1,LAST_UPB_ORIG_VAL_PERCENT,Zero.Bal.Code,MOD_FLAG,FCC_FLC
137411,C,7.25,673000,360,75,2,24,689,N,P,SF,4,I,CA,2006,N,92.69518128,69.52138596,1,N,Not Foreclosed
87023,R,6.25,116000,180,52,1,43,657,N,C,SF,1,P,KS,2006,N,67.40187931,35.04897724,1,N,Not Foreclosed
138178,R,6.5,417000,360,70,2,43,698,N,P,SF,1,P,PA,2006,N,93.1028777,65.17201439,1,N,Not Foreclosed
22803,R,5.75,98000,360,90,1,36,627,N,P,CO,1,P,FL,2005,N,78.22712245,70.4044102,9,N,Not Foreclosed
171736,B,6.125,110000,360,85,2,37,635,Y,P,SF,1,P,MS,2007,N,97.55624545,82.92280864,1,N,Not Foreclosed
30464,C,5.625,220000,360,45,2,46,793,N,P,SF,1,P,TX,2005,N,80.72242727,36.32509227,1,N,Not Foreclosed
22005,R,5.875,87000,360,60,1,56,701,N,P,CO,1,S,SC,2005,N,90.68067816,54.4084069,9,N,Foreclosed
96152,C,6.375,228000,360,74,2,52,703,N,C,PU,1,P,FL,2006,N,59.93472807,44.35169877,3,N,Foreclosed
134635,C,6.875,208000,360,62,2,52,750,N,R,SF,1,P,UT,2006,N,98.12211538,60.83571153,1,N,Not Foreclosed
112287,R,7,216000,360,80,2,43,800,N,P,PU,1,S,SC,2006,N,100,80,1,N,Not Foreclosed
133445,B,7.5,301000,360,90,2,63,766,N,P,SF,1,I,FL,2006,N,81.76234884,73.58611396,3,N,Foreclosed
83154,C,6.25,341000,360,62,2,47,598,N,R,SF,1,P,FL,2006,N,95.9086217,59.46334545,9,N,Foreclosed
42121,C,5.375,160000,180,38,2,43,705,N,R,SF,2,P,CA,2005,N,17.94219375,6.818033625,1,N,Not Foreclosed
34247,R,5.875,190000,360,58,1,54,692,N,C,CO,1,P,AZ,2005,N,84.61413684,49.07619937,1,N,Not Foreclosed
52554,C,5.875,110000,360,74,1,40,771,N,P,SF,1,S,NC,2006,N,87.15545455,64.49503638,1,N,Not Foreclosed
100219,R,6.375,336000,360,61,2,53,761,N,C,PU,1,P,CA,2006,N,92.17162798,56.22469307,1,N,Not Foreclosed
133585,C,6.5,53000,180,50,1,31,661,N,C,SF,1,P,TN,2006,N,88.91216981,44.45608491,1,N,Not Foreclosed
128238,C,6.5,194000,360,80,2,52,773,N,P,SF,1,P,TX,2006,N,94.39219072,75.51375258,1,N,Not Foreclosed
79341,B,5.5,330000,180,70,2,37,755,Y,P,PU,1,P,GA,2006,N,78.98555455,55.28988819,1,N,Not Foreclosed
214623,R,7.875,320000,360,80,1,49,665,N,P,SF,1,I,CA,2008,N,98.49639375,78.797115,9,N,Foreclosed
4062,B,5.875,72000,360,67,1,48,676,N,R,SF,2,P,NY,2005,N,93.44772222,62.60997389,1,N,Not Foreclosed
2642,C,5.5,130000,360,69,2,15,676,N,C,SF,1,P,FL,2005,N,91.24743846,62.96073254,3,N,Foreclosed
52622,R,6.34,60000,360,75,1,32,802,N,P,SF,2,I,MI,2006,N,97.4084,73.0563,9,N,Foreclosed
84981,C,6.25,351000,360,85,1,29,612,N,P,SF,1,P,CA,2006,N,97.58101994,82.94386695,9,N,Foreclosed
229707,R,5.6,218000,360,73,2,60,748,N,C,PU,1,P,ID,2008,N,97.15881651,70.92593606,3,N,Foreclosed
141391,B,6.5,27000,360,62,1,41,665,N,C,SF,1,P,PA,2006,N,97.72807407,60.59140592,9,N,Foreclosed
60900,C,6.5,381000,360,80,2,54,668,N,C,SF,1,P,CA,2006,N,95.10228871,76.08183097,9,N,Foreclosed
30763,B,6,110000,360,52,1,50,572,N,C,PU,1,P,CA,2005,N,97.69085455,50.79924436,1,N,Not Foreclosed
78799,B,6.625,305000,360,90,2,54,666,Y,P,PU,1,P,IL,2006,N,97.41615738,87.67454164,9,N,Foreclosed
224338,B,6.125,296000,360,79,2,33,728,N,C,SF,1,P,MN,2008,N,93.754375,74.06595625,1,N,Not Foreclosed
112876,B,6.75,138000,360,80,1,40,709,N,C,SF,1,P,NJ,2006,N,88.61378261,70.89102609,1,N,Not Foreclosed
65026,C,6,259000,360,85,2,49,684,Y,P,SF,1,P,IA,2006,N,96.25452124,81.81634304,1,N,Not Foreclosed
216663,R,5.75,181000,360,65,1,26,714,N,C,SF,1,P,CO,2008,N,95.20454696,61.88295552,1,N,Not Foreclosed
29003,C,5.375,275000,180,57,1,33,814,Y,P,CO,1,P,NJ,2005,N,35.82930545,20.42270411,1,N,Not Foreclosed
